Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
 ابو جالوم ,Abo Galom , ابو جالوم ,Marwan moussa, 2023,https://genius.com/Eldab3-abo-galom-lyrics,https://images.genius.com/9ec5c9f5abbad9752b50e180224712ee.1000x1000x1.png, شوفت فن ابوه بقيت طول وسطها بيقول شغ هولا هوب لمحت احلي ڤيو مافيش مش عليكي روم خليتيها ابو بغرق عيون ازرق بلو لاجون بيبي كلام فاضي ماعنديش طاقه محتاجه حاجه معاكي رقمي باعته صوره بتس لبسها لايق ماركزتش ماتس ينيش ا انتباه مقفز هيشد خدمه بدون سلاح مرسيكي هيجي ليله ديه ليله حساب بتقولي تحفه حبيبتي متحف فهماني ولا عارفه لقطه جامده ايوه حلو لازق فيا مش عارف اشيله Al Paci دخلت بوشين Reloadاديني خمسه Record راسها سيف عيزاني بسرعه ادوس Baby Boost Ego بصراحه مدياني غيري Migo فهمت بتقول مش هتعوز غيري Migo مش هتعوز Baby Tra quilo هروح بلاقيها فجاه لمت كحكه حماس اخدها ابتدت تكحكح عمري عملت مش عارفه برتاحلك اكيد مش مصدقها حبيبتي مجمعه بتنوع مستوي  افرقع,122
 أبو هشيمة ,Abo Hashima , أبو هشيمة ,Marwan moussa, 2019,https://genius.com/Marwan-moussa-abo-hashima-lyrics,https://images.genius.com/426bbb181352fe4983f8a15fbd6da76c.1000x1000x1.png,مارو  ١٠  بيج مارو ماني صحبتك لسه بعت ثانيه بيرن فاتح دوري اسباني ف ينسيا بطل تبص  مش باكل رز مستحيل يعني مز فيتشر بحداشر ونص سترليني ارابيل مش افيش وراه فيلم طلب لللللللل كريم كرامييييللللل بتحس ب ايه بتعزم صحابك بيت بترمي افيه محدش بيضحك بيبي اشوفك شويه فاخر مياه معدنيه بطل تانيه اعداديه مطوه  صحابي بلطجيه خروف فيلسوف هعملك ريموف تراكي جديد جورج وسوف اص واتس  لسه بشوف معلش مشغول,72
 أبطال ,Abtal , أبطال ,Marwan moussa, 2019,https://genius.com/Marwan-moussa-abtal-lyrics,https://images.genius.com/b4a98b3b960165ded365bf434ff4baa1.1000x1000x1.png, اهلاً ابط خلصنا تصفيات نجيب اجوان استعراض ماشي ماشي سكه بسرعه قراط ماشي u2005ماشي u2005دغري اوتستراد ليه u2005لا مش بادينا غِنا صيت عايزين u2005 اتنين بيقولي واخد قوله بلا نيله بتقاوح قوله قوله قوله Nekkest اختفي عوزه ليله غامقه ليله سوده غرقت غويط طلعت عامل موجه دنيا بتلعب درس وسذاجته وكفاءته وصلت جون وقومت واكله عندكوا قده طِلع واد قبله عارف تفاصيل يس ومش بتعامل اغلبكوا مج استغمايه شوفتوني مره كفايه محدش يعرف غيري ونفسي مرايه طيب مش ملعب اخويا اخويا اخويا اديني بفكرك فتره مبقيتش اهرج ناس بتاخد عني فكره غلط باشا شغل حب انقرض جاتلي فكره ليله ارق نزلت لاقيت ماتش اتقلب اخدت خطوه لقيتهم جابوا مش هاقعد احكي بقي واهري احرق دمي بقي واغلي ورايا كتير ولازم اجري بنام متاخر واصحي بدري بنام متاخر واصحي بدري دايما باجي نفسي مفيش حاجه اسمها جيبت اخري حاجه عندي اهلي هادي مَهلي سلم ماشي سلانسيه سكه صعبه عكس حسيت اكون اساسي شيء ولكل مركز فيكوا عندي جيب قعدتوا تجرو تجرو تجرو عديت جيبتوا جيبتوا زيت باشا اخرك تلعب بيت,169
 قدري ,Adary , قدري ,Marwan moussa, 2021,https://genius.com/Afroto-adary-lyrics,https://images.genius.com/9961d8d7794bcb97a6cbd0801c7bcfc6.1000x1000x1.png,مروان موسي مشكله سكه تطول متبقاش مصدق عاشر مره ومش متعود خسرت ناس ارقام تخوف قديم سني يجيبوا سيرتي يخافوا مني يحس بندم يفتكرني سكينته ضهري بيبتسملي عفروتو زميلي مش سندي افكاري تعباني مشتت بلدي مداري بلاوي غلطه بسببي سوء تفاهم بحلم دلوقتي صاحي ودي هلاوس قدري قدري دماغي تتعب للدرجه قدري قدري ضهري دراويل قدري قدري راسي تتعب للدرجه قدري قدري ضهري دراويل تخوني ظروف مش بتعلم دروس ناس غدارين صاحبي مش كه نفوس شوفني حزين جوايا بحدف مولوتوف تمطر عليا مصايب بعامل مشاكلي ببرود,86
 أدريانا ليما ,Adriana Lima , أدريانا ليما ,Marwan moussa, 2022,https://genius.com/Marwan-moussa-adriana-lima-lyrics,https://images.genius.com/b6cc3e7a6456c801dadcffc28c5c5249.1000x1000x1.png, اوكيه اوكيه اوكيه اوكيه Yeah Yeah Yeah Hey Hey اوكيه اوكيه اوكيه اوكيه اوكيه اوكيه دماغي بنزينه ورشه ميكانيكا محتاج دعم تاخد زقه برويطه تبان سهله وبسيطه سحله بطء طء تيجي سباق تتقطع غضاريفك جاتلي ضريبه شهره ضريبه تلكيك شق طريقك ودي طريقه ودي وضميرك زميلي برتجل رغم جيبي خريطه Are زميلي برتكب جريمه  شايل تيكتس جديده قديمه مزه جديده ادريانا ليما بجري مدينه اجري اجيبك ساحل بحضر حاجز كابينه Be fica جوه كاسي احمر بشرب حبيبتي جميله مش بثق اسءلتها كتير مش بقول حقيقه حادق دقه ياما اتق دوم تكه دلوقتي بنتغدا عارف قلت روايه هوريك بوشك ايد لوحدها بتسقف حلو اداء رياضي مش هواءي فضاءي نازل مطار ابو ظبي مافيش سلاحف راداري,114
 أفريقيا وأمريكا ,AFREQYA W AMREKA , أفريقيا وأمريكا ,Marwan moussa, 2023,https://genius.com/Marwan-moussa-afreqya-w-amreka-lyrics,https://images.genius.com/cd8a8fa6376c85e74fff076aa5f1cb54.1000x1000x1.png, وصلت ركنت بتخميسه ناصيه BeatCool  Character قول يابا اكتر Beatدخلت اخويا صغير  Beat مني ف اقدر بتمطر اخضر مش متحضر متخدر قلبي بيدق دق دق دق دق عقلي بيفكر شغلي بيسهّر معمل بفكس قاعده بلقط اشاره تردد اعلي كنت محاوله ادرس معني ماكانش معني لقيت موضوع مش بتاعنا شويه يقولي حك فُلان هتولعها مش عايز اولعها اصلًا لوحدي وبطولي مولعها Over برفع زيزو رافعه مش هطلع موضه اطلع اوضه اقفش جون دماغي جون وبخاطب ماسك نوته قافش كوره هجمه تكافء معادله تساءل مسابقه ارقام هلامي مش حاسبه,87
 أجزخانة ,Agzkhanh , أجزخانة ,Marwan moussa, 2018,https://genius.com/Marwan-moussa-agzkhanh-lyrics,https://images.genius.com/9729fd092f123e39e7fac2da0aa2fe5c.1000x1000x1.webp,اعوز اذاكر افتح دراسات واسيب جبر اعوز اريّح فاتمدد قضيب قطر سوش  تعمل سندباد تعلن اكتءاب ابتدي اسم حرف فعل سمسار صاحب بيت غلّي سعر وهنا حاجه بتغلي كلمه شرف ولما حاجه بتبقي دوغري نحب نيجيلها انجاز كدا لازم نقيس مسطره ولازم ميستر اجبرك لازم ميس تكدرك وانا رحت للمصير وقلت له بقي لي لسه شفت حاجه فهمنا خلاص بقي اتنيلنا هنقعد نتكتم اشرح لنا كبيرنا مش فاهم عايز مني مش اتاخرت جيت ابتداءي نفسي ازاي اعدادي نفسي امتي جامعه بدات نفسي ليه دلوقتي جوجل اجزخانه,86
 على بعضي ,Ala Ba’ady , على بعضي ,Marwan moussa, 2020,https://genius.com/Afroto-ala-baady-lyrics,https://images.genius.com/0215b0d11ad806c5d8200706d407813a.1000x1000x1.png, لازمه عفروتو غلطه مش غلطتي انسب لمين اخطاءي فكرت كتير عيب عيب راسي بيبيعوا ودول بيساعدوا لحظه نشقلب اوضاع ناس بتمثل ناس بتخون مش بعضي غلطه مش غلطتي انسب لمين اخطاءي فكرت كتير عيب عيب راسي بيبيعوا ودول بيساعدوا لحظه نشقلب اوضاع ناس بتمثل ناس بتخون مش بعضي  مروان دايره انتوا عليا لسه ايديه نهايه جايه جايه وصلنا لوكيشن خلصت رحله عاتمه نهار بيحرق سودا مش بفتكرها بيضا قعده تحلي متس نيش مش فاكر جوه دماغي ناس بتهاجر مش عارف زود شويه افتكر اعتذر فايل اتدلت هارد بيتكسر صحاب قلت صداع كتر سء دايما بيتس لازمه عفروتو غلطه مش غلطتي انسب لمين اخطاءي فكرت كتير عيب عيب راسي بيبيعوا ودول بيساعدوا لحظه نشقلب اوضاع ناس بتمثل ناس بتخون مش بعضي,120
 ألومِك ,Aloomek , ألومِك ,Marwan moussa, 2022,https://genius.com/Marwan-moussa-aloomek-lyrics,https://images.genius.com/298ed55cc56c83a8bffec78f3706b797.1000x1000x1.png, صورتك متعلقه جفني كلب رومانسي عارفني ماتش تكسكه بتغشي بيبي ماتشات ببقي ميسي مش منظره لا جابنا لورا سكه مكسره اجواء محجره ردود فعل باڤوره برضو راضي ضرر لازمه اولي مخدراتي عقلي داخل نقاش قلبي نسيبك مش راضي بيقوله مراتي وبيتكلم قولن قلبي وفر كلامك حل اقتصادي عندي احلام عندي احلام وليكي باصص لقدام اجلنا كلامنا زمن دفعنا حساب حصل حصل وزهقت عاب مفيش طاقه للخناق ساعات بتسحل وببقي لازم اطلع كسبان تكسكه غرور Ego  مش مطلوب سهره معاكي روف Gooseوواحد u200f Hava club فكره مش تبوس فكره تفوز فكره تعوم فكره تدوم كليب لحد رجعت بيت وقمت نايم هدوم حاجه هدوء بيني وبينك عقود فتي بنود,107
 أنا كده مبسوط ,Ana Keda Mabsout , أنا كده مبسوط ,Marwan moussa, 2016,https://genius.com/Abyusif-ana-keda-mabsout-lyrics,https://images.genius.com/3c704015b002772ed52f35a5ba61ef45.1000x1000x1.webp,عندي كلام يتق عبي فات شو خبطتين دماغ ارتجاج صوتك هز زلز عيني ايدك هاتيها دلوقتي اقولك خليها دلوقتي خليه يفكر فيها دلوقتي هنسيها دلوقتي دلوقتي عجبتيني غلبتيني جراه مكتوب ايدي لازم امشيكي طُرقه قمه برود قلبي فرن مش بعضي برد بشورت وبشُر مش حاجه بتضر بتتمشي اورج امسك ايدك حب اشيل صورتك درج اصلا مابعرفش اقعد ساكت ما اخر هسمعلك للاخر ما اخر بتقفل عنيها داخت ما اخر بتفتح عنيها وتتاكل لسه يومين مخي مش شغ ماكنتش قادر ادي اهتمام غايب منطق احلام بتوهمني تمام ماتقوليش افوق مبسوط ماتقوليش اشوف سيبها للظروف,93
