Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
 علاج طبيعي ,3elag Tabe3y , علاج طبيعي ,Abyusif,2015,https://genius.com/Abyusif-3elag-tabe3y-lyrics,https://images.genius.com/96779c65d462fe7b8e8df8a30ffcae71.1000x1000x1.png, موميا مش بتقلب عارف هشوفكوا فصحيت نوم بشلت اغسل ايدي لسه عايزيني اروح u2005اسلم u2005 نور u2005ومش هكلم ظبط u2005يقوم ضاحك نضحك هيجي اخفيكم ساحر مدحت بجحه افيهاتي كه مش بتكحت ملف تلاقيها مش بتسحب Ga g حق جديد لنج بضغط عليك مكنه بنك Ta g هتقشر برتقان هيطلع برضه طعمه مليت استرخيت فضيت تانك برد بارد ابرد سءلتي بانت نبره سءلتي بارد شفره ضفري تحت جلدك كارك مبرد هنشل مشاهد فقره اسمحلي اقولك حقد هيضرك خرم دماغك اوسع سره بشاميل كوسه لسه فاضل دوسه حطني دماغك قشطه تلبس خوذه نركب نشوف اوسخ بركه America اجننك تروح تتع بتدلدق بتصب دمك شربات بلغمي وب حب باجي بمزاجي باجيش فوراً متعصب عندك دوره Bitch ابتسمت مش سنان مصفره بتبان معقد فخلي تعليقات سرك خلاص بقعت بيوضك بتنطق Pri ter  Computer بطبع وصل  قشطه قطر قلبك اصغر دوحه ازنقك كابوس تصحي مطرطر روحك للابد Clever forever hey اكرمك اتفلك شاي لبن مش مدير مش بيشيلوا اسمي ويحطوا حروف كتير مسامير ببل منديل وارمي بيت CV هات كبريت ولع مفيش تبريد  تباً تاني لسه بانلكش اهلاً بيك قايمه ماعنديش زهايمر بانساكش رايك داخل بيت بايدين فاضيه تزعلش اقولك جغرافيا يوسف كتر فجع كلكم نزل وجع قلبه شد اسلاك بكعبلته فقدان توازن Sorry بقر بني ادم مش بلباسه جملي متر بيتقاسوا احلام تحت رجل بيتداسوا ابني بتناسب هد باخلاص اكتب برصاص اكتم اتغاظ اكتم خلاص هيفلت يتشاط لبست ميكروفون طرطور دور Co trol مفيش بجيب دور بدور بدون خرطوم بكرهك ومش محتاج تبرير مش محتاج تبرير مش محتاج بكرهك ومش محتاج تبرير مش محتاج تبرير مش محتاج بكرهك ومش محتاج تبرير مش محتاج تبرير مش محتاج بكرهك ومش محتاج تبرير مش محتاج تبرير,269
 عصام ,3SAM , عصام ,Abyusif, 2017,https://genius.com/Abyusif-3sam-lyrics,https://images.genius.com/e032743e431204373be06bdd22e52db8.1000x1000x1.png, انتظار بيستنوني مطار بلعب متصاب عندي رقصه انتصار سد وده نظام فيضان امسح اصفار رقم عصام رقم عصام رقم عصام رقم عصام رقم عصام رقم عصام رقم عصام رقم عصام رقم عصام كوابيسي محتاجه لسباك دُغري مش بمشي زيجزاج لواحدي اتحاد ملاك مفيش تيم مش طرنيب بلاك جاك بواسيك قعده بكدرك تشتمني اساعدك اكبرك لاست اوردر ساعتك متاخره بتاعتي تنزل بتاعتك تبقي قرف عادي براحتك دوس محدش فيكوا اصلا جاب فلوس شهره بتهدي نفوس مش بحضر جن تشيرتي ملبوس اخص كاش بمضي شيك مقص قماش اجمد رابر مصر عاش استني اسمه بص ماجاش اصل فينيش وصولي بيتهرش يطلع جروبي يتقلش عيش بوري بتتنفش حضوري بينكمش انتهازي ابو جلامبو هازي مش بجامله حكم اعمي ماشيلش ذنبه وقع لواحده ماجيتش جمبه,119
 عشان بس يكون في علمك ,3shan Bas Ykun F 3elmek , عشان بس يكون في علمك ,Abyusif, 2023,https://genius.com/Abyusif-3shan-bas-ykun-f-3elmek-lyrics,https://images.genius.com/72ad5eff0c12371dd80e267079d936d6.1000x1000x1.png, ومش هتكلم مقسوم برضي مكتوب بتيجي دماغي اكتر فلوس مره فكره تتوه مش هتكلم مقسوم ارضي مكتوب بتيجي دماغي اكتر فلوس مره فكره تتوه ازاي لسه نسيتش عيد ميلادها ازاي اكتءابش كلام وخلاص بيتنفذش ساعتها حلم بحلم اتنفسش نفسي ندونش خناقات عه باب نفسي نفوتش وجع وزعل فيلم نفسي يلودش ومش هتكلم مقسوم برضي مكتوب بتيجي دماغي اكتر فلوس مره فكره تتوه وعشان علمك حبيت انساكي مش هنساكي مش هنساكي وعشان علمك حبيت انساكي مش هنساكي مش هنساكي لا,79
 حبايبي ,7ABAYBY , حبايبي ,Abyusif, 2023,https://genius.com/Abyusif-7abayby-lyrics,https://images.genius.com/9e55d2f7751c199fe544a76f0d873623.1000x563x1.jpg, ماشي هاع هتس عليهم هقولك حبايبي Beatزي  WWE تمثيل و وايلي مش وايلي شوف بدايلي محذوف u2005جمايلي u2005تكون سكوت وضلمه Beatسلسه u2005افلام Fast  Furious بدون u2005مطارده ومكان اتلاقي بيك تشوفني تجري عنديش طوطو اقوله يسيبني حره رجلي طلب هدنه اهبل مش هتاخدها سهله مش بشوف تشريح مفصل بشوط كتله كامله بقع بنزل واقف مش محتاج تلقفني يشوفني Therapist يروح ل Therapist بخلي  وكلمه للمقصودين لتوا وعجنوا كيك Drake وحش  عمله Tech  تس عليه هقولك طيب فاهمك زي ايڤل طلع طيب واهبل مش قيم فنًا مكتوب فيا ابيات ماتوا فيا شقيق Beat واقعه حبي مثلما  چوكر وقع  Date  مش نازلDate نازل مش نازل بيت عه تسلم باتت ليلتين مكتوب عني اغنيات نهر نيل يونيو طلع بيجيش ابريل هاع دادي يبقي سيدها بمزاجي مش بسيبها تعبتش كتابه تعبتوا تقليدها افردها قِلل تهدا شلل تهبق امحي مناهج مناهج كلمه اكتبها Lately احترامي للارقام بقيتوا كلابها لسه بمشي شارع معروف تحت بيتي تريند رقم شاهد قولها لبلف غيظه مش حسن بيسو فبيتكلم ريتشه هاع بينادي نفسي احسن راب اولادي وكمان بيقولها تاني It s okay بيبي عادي بطاطس نار بعمله مش لعي مش مهتم بيوتيوبي مهتم بجيوبي حمدلله مش ب بسيوني عمرهم نسيوني مش صدمه بتنفع مش ضربه بتوجع بقيت بتغيب وتفكس اكتر مره بترجع مش بتشعر احيانًا واقع حزين وصعب مش بتحس ومولوتوف طول قين لبعض Beatمش بتسمع موسكو تقول نسخه طبق اصل ل داما رص نطق اسطي حاجه اخصامي ايديها جنبها لوحدها مش بكتفها مش بتشوفني خسرت بيف دراجون هيل بتفهم هتخيب فاصله اسطي بردش ديسات باقل Beat١٠٠ K اخضر فرو معيز Pote tial شاف بكتير اخش واقرا تويت عره مج  ادني انجاب اجي احلب بقره وحط مايك قدام بقها افيدلك,269
 حد بيراب أحسن مني ,7ad Beyrap A7san Meny , حد بيراب أحسن مني ,Abyusif,2016,https://genius.com/Abyusif-7ad-beyrap-a7san-meny-lyrics,https://images.genius.com/e49bb027b91a789ddb576b0d4dcc6fdf.280x280x1.jpg, يتكلم اصل بتقل بهرجه حلمت تلم بضربك واحنا سلم كهربا فوق حاطط ضفادع طوق u2005بركه كنترول u2005زق u2005عمر ذوق تركب اتعصب امسك نفسي u2005افعصها ارش مبيد اغرق ناموس بعطسه اجتماعيا مزيكا منبوذه افرد بوزك بتتكلم نموذج رضيت اكتب كلام كتير هبان جديد ببانج بيت اسف محاولتكوا مابتزنجفنيش ايدي تقولي احساس تنميلي يقولي تناديلي تقوملي بمسح مناخيري كمي اعوملك اطلعلك عايزين نبيع عمله صعبه فببيع جمله واستعبط بستذكي غابه قلبي مسكن ركبكوا سايبه متماسكه مش هنحور ونفتي ونقول بيراب احسن مني فيوهات يبقي زاب واحمد مكي بتاعت اعلانات اكتبيها نوت باد لاحسن تنسي مش هنحور ونفتي ونقول بيراب احسن مني فيوهات يبقي زاب واحمد مكي بتاعت اعلانات اكتبيها نوت باد لاحسن تنسي مش هنحور ونفتي ونقول بيراب احسن مني فيوهات يبقي زاب واحمد مكي بتاعت اعلانات اكتبيها نوت باد لاحسن تنسي,130
 حد من جوة مات خلاص ,7ad Men Gowa Mat Khalas , حد من جوة مات خلاص ,Abyusif, 2023,https://genius.com/Abyusif-7ad-men-gowa-mat-khalas-lyrics,https://images.genius.com/72ad5eff0c12371dd80e267079d936d6.1000x1000x1.png, بحبكيش احبش اكون لوحدي تبعديش حاولي تديني مساحتي استني تمشيش كلام احسن مش اكيد مش اكيد لازمه جت خبطط امبارح فتحتش ضيوف ف قفلت موبايلي مش بغير رايي هدوم قلبي تنسيه مش موجود تدوريش مش هتلاقيه مش هتلاقيه جوه مات خلاص تحبنيش هلاك خراب وجع بلاش حرام دخان سراب فكراني مش جوه مات خلاص تحينيش هلاك خراب وجع بلاش حرام دخان سراب فكراني مش هو,65
 حد تاني خالص ,7ad Tany Khales , حد تاني خالص ,Abyusif, 2020,https://genius.com/Abyusif-7ad-tany-khales-lyrics,https://images.genius.com/2dcd462b3d0817e204499c345c52f54b.1000x1000x1.png, Beatليل بابا  Beat حرب حرب بتلغبط اساميكوا تلاته جبنه u2005مع u2005 زمن ساحت ودي حاولت u2005تعمل نمره سوري جاحد ودي u2005فاكره هيفرقلي ماشيه قمت ضاحك قمت ضاحك دورتي احسن مني قيتيش مابقتش احس بحاجه بينا بينا متاحف كانش اسمي ابيوسف اسمي هيبقي ليل جاحد تاني كنتيش كنتي تقوليلي اجي كنتش اجي كنتيش وحشاني كنتي منفعله هادي قبلك اتوجعت فانتي نسب نفخ زبادي ترنيش نايم تلتيش فايق تتكلميش بحجه خايفه عليا تربيش هايل تلفيش رايق تصدقيش مايل بتكلم كتير راوي ساعات ابقي حزين ومنطوي ساعات افرفش صاوي كنتوا لحظه فانتوا فوتوا بشوط عليكوا كور وبتصدوا تيجي تاني رجلي اشوطها فبتدخل مشروم ريزوتو بيكلموني مش برد بتكلموهم ومش بيردوا اعتقد انتوا موتّوا تشيك تشيك بوء بوء,114
 حوض سمك في السما ,7ood Samakk Fil Sama , حوض سمك في السما ,Abyusif,2015,https://genius.com/Abyusif-7ood-samakk-fil-sama-lyrics,https://images.genius.com/efd8d061fb90a942aabd92087b09ff00.1000x1000x1.png, افكر لمبه تتسرق بستغرب شمس واقرب اتحرق فرصه بتهرج لمس فضلك تطبق تنامش واتفضل اتدلق كنت ساقني ظني خاني سوقته غلطت وقولت قولته بلومكو مش ذنب شوفت شوفته نتكلم دماغي تعبت بتسلم مخرج كاميرا اسمع بودانك وموت عينيك عندي انسحاب مورفين جسم قفلت امتحان نسيت كانوا بينادوني بيه دور كانوا بينقوني كسبت نفسي خسرت حاجات كتيره فضلش قلبي غيره علمتني عوم خوفتني غطس حركتني بموج لبستني صخر تسلم ايد كتب ورق حوض سمك سما واتدلق طعم كلور بوق حوت قلبه بطن لقي جرح ملح وقام قتل ظن بيعور مش لاقي شخصيتي بيقلب ويدور جربت ترنلها تنساها غصب تغنلها ايدي مش ايدها,101
 حرب ,7RB , حرب ,Abyusif, 2021,https://genius.com/Abyusif-7rb-lyrics,https://images.genius.com/40243d2dbf5c9e570a9ef907a8beedf7.1000x1000x1.png, حرب رمم ارض طلق رز عمرت ضرب خصم نزل بطن جت ضهر u2005But قهر u2005انا شمس صهد u2005علي مضطر فاختارت اسيبش منهم u2005ولا فرد Start مافيش رجوع دست حرب رمم ارض طلق رز عمرت ضرب خصم نزل بطن جت ضهر But قهر شمس صهد مضطر فاختارت اسيبش منهم فرد Start مافيش رجوع دست ابيو كبيرها دكتورها سنين مش مرهق حساب بنك عامل فورمه بفليكس عليكو دره اداء سراكل كوربه نفخ شمع تورته Normal لسع مني مش اطلع مايك اقول راب بيتس تخش تربه ابيو اجباري نط نطه تبصش وراها لانها بطه ماتش كوره مش بشوفك اصلاً هعتمد شاشه صوره واصله Ico ic خارج بكروكس مخرم So ic قول غيبتي بيوصل اسرع Topic ليل بابا تريند بمناسبه  Stupid ليل بابا بيت وانتو اتف احرقك جاش بلغم تغلق فمك اتكلم جديد جامده Repeat حربايه بتتجاب لسانها بسهركوا Sleep مافيش مافيش ديل مش ناركوس هاتلي سكانر Mi ute ابيعكوا اهو تيت تيت باركود جرين اسكرين بصغركوا,153
 ٨/٨/ج ,8/8/G , ٨/٨/ج ,Abyusif, 2022,https://genius.com/Abyusif-8-8-g-lyrics,https://images.genius.com/b0a7151f2fb1300d97033dae7dd055c0.1000x1000x1.png, متلون قلبي بيبهت مره قاصد كلمه بكتبها مجنون ردي مش هيفرق ايوه اصوات دماغي عادي بعرف اسكتها رحمه قلبي فكستلها شقلب مج نهارها وليلها هجيلها منام تقدرها وتزهق اخصامي شقه نص وافرشها فريشها كاننا رحله دبله Drip هرميك صاحبك  هتغرق بدل تقلدني بيع صيغتك مش صيغتك اديني بروزتك كيس ميه هفا فاكرني مش هعدي نفق مش صبرك نمر هتركبك اوسمك كارتير دهب ارسمك بيضتين انا يلا هضبه جيل قبله بعديه ابيع خاتم بس اشتري راب سين وهقلبها كشك بطاطس بوم فريت بدوّن تاريخ بُقي بدل صريخ اوضتي,87
