Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
 قهوجي ,Ahwagy , قهوجي ,Afroto, 2022,https://genius.com/Afroto-ahwagy-lyrics,https://images.genius.com/f21bc95596cf7d7d6a29e34351ce01fa.1000x1000x1.jpg, قهوجي دلوقتي نجم وماشي حاره بسيفي راكن اخصام ويتنج قولي مستغرب But Im still amazi g ٦ سنين يابا بيسمعني بيبي راكن بكيفي قهوجي دلوقتي نجم وماشي حاره بسيفي راكن اخصام ويتنج قولي مستغرب But Im still amazi g ٦ سنين يابا بيسمعني بيبي راكن بكيفي ننجز بنحرق بنزين صوتي دماغهم مضطرين كارهني مهتمين يابا بيته يسمعني تمرين يجي يشيل مني بجح اكسفه انتيم مش هتدخل هتقول زقك بتظيط بتسخف دكه بتسخن بتنزلش تشيط بتدخن اشوط بشم وارزع بار بلسع جار حمار فاكراك جاي نار استعمار نعطر ونحاسبك باشا اقتصد طاقات بتطير باشا اختصر كلام وانهيه انتصر كلاب بتظيظ فاكس بومبو فاكس حبيبي حاول تاخد كلام ودي هتنتقض كلام تتنيه ردي هيكون ز,113
 على بعضي ,Ala Ba’ady , على بعضي ,Afroto, 2020,https://genius.com/Afroto-ala-baady-lyrics,https://images.genius.com/0215b0d11ad806c5d8200706d407813a.1000x1000x1.png, لازمه عفروتو غلطه مش غلطتي انسب لمين اخطاءي فكرت كتير عيب عيب راسي بيبيعوا ودول بيساعدوا لحظه نشقلب اوضاع ناس بتمثل ناس بتخون مش بعضي غلطه مش غلطتي انسب لمين اخطاءي فكرت كتير عيب عيب راسي بيبيعوا ودول بيساعدوا لحظه نشقلب اوضاع ناس بتمثل ناس بتخون مش بعضي  مروان دايره انتوا عليا لسه ايديه نهايه جايه جايه وصلنا لوكيشن خلصت رحله عاتمه نهار بيحرق سودا مش بفتكرها بيضا قعده تحلي متس نيش مش فاكر جوه دماغي ناس بتهاجر مش عارف زود شويه افتكر اعتذر فايل اتدلت هارد بيتكسر صحاب قلت صداع كتر سء دايما بيتس لازمه عفروتو غلطه مش غلطتي انسب لمين اخطاءي فكرت كتير عيب عيب راسي بيبيعوا ودول بيساعدوا لحظه نشقلب اوضاع ناس بتمثل ناس بتخون مش بعضي,120
 أنا ديل ,Ana Deal , أنا ديل ,Afroto, 2022,https://genius.com/Afroto-ana-deal-lyrics,https://images.genius.com/b9b6c76313cc544771348f0ec1041992.1000x1000x1.png, تراكات جامده بتبتدي Ok Beat موضوع فيه ماعجبنيش  Beat Beatف قولتله Ca cel ca cel bro وبعدين Beatمش عايز ي Ca cel بتيجي بقي اهههه صوت ميكساچ Beatعلي محمول ميزدات Oh Beatرجل اعم بعمل راب Ok موجه اوه مجاملات منا اوه مناقشات تلي بحبك قولت بلاش Beatانتِ شقط  Ma لازمه اولي شقيت اوه انتَ بهيم اوه يكدب يقولي كبير قولي فورمه اوه شقيت اوه انتَ بهيم اوه يكدب يقولي كبير قولي فورمه اوه بلاش نحور بلاش تحك وفاكس بلاش افكر اوه Beatبلاش تحزبها اشقيق اوه Beatبلاش تامبزها Please,88
 أنا متفائل ,Ana Motfa2el , أنا متفائل ,Afroto, 2018,https://genius.com/Marwan-moussa-ana-motfa2el-lyrics,https://images.genius.com/7f8bf9cc72bc0d628c3fbc1706396f90.1000x1000x1.png, مش مسءول هيحصل خطوه مُتفاءل اممم مُتفاءل اممم مُتفاءل اممم انا مُتفاءل فكرت كاريري ساذج لقيتهم قلدوني جامد حصل حاولوا يهزوني ثابت نسكافيه وبضربك لازم عديت اكون مذاكر Beatبكشف  Fake يقول ساتر فات سنين ولسه فاكر سِك ودُغري مش كاسر مارو وادي وليمه بنلعب كره بيكوا فيفا اخركوا انتوا تلعبوا سيجا شفتش فيكوا لعّيبه تعمل بعمله ساكن للابد زاءر هعمل حفله جزاءر BeatFlow ابن وسخه تحسه كافر حظك وحش سرك بير اصطادكم تحت قعر بحر كبير عَفرَت خارق ص لمض قمط نبيعكم رخيص مقلعهم هدوم حامي حلبسه بقشيش لزوم قمت حاطط خمسه يفتكروك غيرت لون خدك شخصك حاككلي وملزق اتلم واحترم نفسك فار صغر قدك مافيش مقارنه اسفين ظلم اسامينا فوق زميل سينا كولا فاشلين قول تري كسرت طول وضعي مش هتتنفس بدي امر بتنفذ بفرز وبحلل وبهندس Beatرافع  Ha وبراسي بخمّس بنيجي تاني وليله جاني جني وجابلي عيله فابعد عني جاي مش هتكون حي حاجه كيفك اشيل طبق قدامك بتاكل فاهم تفاهه تفاءل ركز شويه بارات مش تفاعل رقصت مدافعين مدربين فانت اسندلي طولك وامسك نفسك حبه مقامك عندي نمله عادي اديك جزمه مش هتفرق سادي هقتلك كش ديه قولوا لشيرين بحبني وبكره شعوري حبي فيا حطيت بعيده قطّعت نجيله صعبه مش مستحيله كش دعوه مزرعه سعيده عفروتو مافيش منهم لعيبه مِرّررو دولا كسر اعداء كسل عمرك هتبقي بتراب دوده تيجي تنزلك عسل شباب جديده صولجاني تاج صوت عفرت فهد مجره زلز بيهد راب شم هبل Beatاحنا Bull Dogs مروان وعفروتو Beatكده Full Stop,235
 بهظ ,Bahz , بهظ ,Afroto, 2023,https://genius.com/Afroto-bahz-lyrics,https://images.genius.com/8bfb1408e1e3bd76c44d4bc91bb1c534.1000x1000x1.png, بص ابن اه اصحي خمستاشر اصحي للسيوف Beatاحمد G Beat شباب عسول Woah كلام مقفول Wooh Beatاخوك كتاب بيقول Oh oh oh كلمه بيتادب مافيش حساب بيزول ع دغري شوفت اتون سوق I love you Beatقولتلها I love اخوكي بهظ جيهته وعلي ايده دبله وورده بيور شقيت وعانيت انتَ فِشل وفيك وعليك فتشته جسر حاجته ومش عايز اقول باديت فقعت سيط شاب ف تقدر تقول غفلت عينيه وعلي طقم فيندي تشوفني تقول مايبانش اه بص ابن بص مافي فيكو يسد خانتي خ ص حاولوا يكبروها خليتهم قشروا يوستفندي هناك يعني ماما جايين كرامه في كرامه انتَ جاي توكتوك اشاره ع اشاره Woooh Beatوانا جاي  Gucci  Prada Beatفي  Video تشوفي اخواتي حفله بيعملوا Circle Beatيجوا دخله يزوقوا Oh oh oh وانتَ تدور Beatمش هتلاقيلي نقطه ضعف Ok ok ربنا ومعايا ولاد جيهتي بتخاف امه بتضرب شعر تحيه بسم جيهه اصحي للسيوف تحيه بسم اخواتي قووول Beatتحيه بسم  Party اصح ي تحيه بسم نادي ماتطجنليش Beatخصمي جاي حكايه وراجع بيجري Mbappe فوريره ودوا عتابي ييييجري,163
 بكار ,Bakar , بكار ,Afroto, 2020,https://genius.com/Afroto-bakar-lyrics,https://images.genius.com/356fd21e0688c1ebd21d76865af555d1.1000x1000x1.png,ادليب اسكندريه مطاريه ابن سيوف بيدحرج اتقل تتكايف راسي متسايڤ اخوك شطلاوي بيكتب قهوجيه بتايد مش خساره طيبتك اخش u2005ازرزر u2005جيهتك مطوه ايدي u2005ارميها جيهته اعركوا شبشب سيبني متزملنيش Beatبنبوظ  u2005Deal نخمس فيش بسنطر فيل تحلو وتصيع وبتسب دين اتربي يديك قصدنا بيبي نفسي اقبل تيجو نفسي اقف وسطيكوا Fuck u fuck ego اسنطر فيكو زيك سيكا كلاب بيسا فيش فرق بينكو لبان مستيكه بتلف وتفاير كلاب بتضيع اعمل واتسيط نفسو قصير عركه بنفوز قمه جيوش نزفروها سكاكينا كراريس نعلمها موس,81
 بسكوت ,Baskot , بسكوت ,Afroto, 2021,https://genius.com/Afroto-baskot-lyrics,https://images.genius.com/dc3fada5e52099e466a65d37399eb77f.1000x1000x1.jpg, Beat مفرش  مكسيكو وجاي افشخلوا بلدوا بناسها بدوس شوز سلم خدتك مسند u2005ديسك u2005جاي اديك نبذه u2005نفس اهينك يومين وبتضحكنا ومعلومه u2005مبسامحش مساطيل وديسك مفهوش ميه عزراءيل عقلك اصغر لمونه عصره شيل مكسوف اوي دسك ليه قولولي عزرا قديم مسنود جديد مقتول شده مش هتزول موجود وبسايك بسكوت مش حمل بيدور بيفور ضغط بيجيلك اهينك بتجيش سكه وبجد دلوقتي حاسس بيك هتموت خوف بتقول ازاي بترد بسرعه وجامد نيك وشكلي قدام فانزي هيكون دلوقتي هتلاقي تصريح نازل راب سين بيقول عفرت يكشر انيابه ويوسف عامل استوري جديده انستا بدون ثيابه تقريبًا عارض اشياءوا فعلاً فلس فاضطر يبيع معرض ازياءوا مبقاش مصمم ازياء مش عارف بصراحه اصبح مصمم يتناك يعني كبير وقله ومش حمل انتاج اشتغل مهندس دكتور دسات رغم عقيم دسك افرح اهطل رجعناك اجمد فكره فرق بينا دسات باين زيح اسمك بنس اقوي بتجيش سيرتك جثه تانيه شكله مريحلها راي انزو زميلي فوقلها فوقلها خلي قلبك جامد لها صاحبي قدها بشجع سمكه تونا عنيده تجيب عندها لحد تفرفص وسعتها بصتاد صيده اسكندراني فهمان ازميلي شغلانه مصيبه نازل ملعون ابوها جيره Beatبعمل شاي قهوجي احباجي System جاي اعملك Setup فانز مش فاهمين حته Beatمش عملناش  Track يبقي مفروض ادسك قولته فانز مش مستوعبين بزفك بعصرك ايدي بتنزل فشل ممزوج بكدبك وحشه دي جاي اصبح واعزيك بلدك ولعتلك فيها مشاعر معنديش عايز سيط فدس عفريت دسيت عفريت عفريت غيره جيه ينهيك يا دين نبي فبلاش تافلم بسيطه تكذبش تقولش بندسك لجل سيطه وبعدين مفرش دي كلمات مهينه هشرب كبيت شاي حط مفرش طيزك,242
 بيلوجا ,Beluga , بيلوجا ,Afroto, 2021,https://genius.com/Marwan-moussa-beluga-lyrics,https://images.genius.com/bea5c09a97b100830a0b380c24a200c1.1000x1000x1.png, مقدمه عفروتو Beatوووه حاسس Rockstar وووه مايك ايدي ماسكه مايل وووه حاسس مخي وووه اصلاً مش شارب وووه حاسس مخي زار بره ثابت ثابت وووه حاسس بلعب جيتار عمري عازف  مروان موسي ايه سوقت مدينه شارع شوفت وشوش حزينه قمت راجع قافل تكيف ومودي ساقع جبت شقه جديده وقمت دافع دافع مش عايز اودي ناس ناقصه عايز اودي ناس فاصله اصفار وتحط فاصله اسطي تقوليش بفه اسطي تقوليش اسطي اسطي تقوليش اصلاً ايه مقطع ثاني كريم انزو دماغي عطلانه مشاعري هربان ميه اصابه لسه قامه دماغي ايدي طاره توتي جيبي عصابه اجيب قناصه نيجي نرش طلق زميلي طلعت حرب حرب واقف ارض ارض مين لساني بيطلق شرز هو كريم انزو بحبه ايه ووه,113
 بلوبيف ,Bolobeef , بلوبيف ,Afroto, 2019,https://genius.com/Afroto-bolobeef-lyrics,https://images.genius.com/7ea109417e65fadedf1e5868bb960275.1000x1000x1.png,Cest la Vie تراك زحفتك يشهد سيراميك حطيت تحت سريرك ديناميت خد تفه مش خساره معاويج فانزي معاويج فامتزعلش اخلف مواعيد امشي ملاعين رمضان اقابلك تراويح AfrotoMusic Follow Me Deep نبره صوتوا Real مافيش غيرو Solo Beat هعيطك لحظه اكتب سيرش بتقلدني لمبي بولوبيف بولوبيف يامرو بتبصلي شايف لحظه بص شكلها بتحبني انسي انسي انسي مش هقولك بيبي فاكس فشله بمشيكي بكيفي متقوليش كين عندك حق عندي مغرورين مستحيل اقابلك طريق سابقك سايب هيسنطروك عطروا فيك,76
 بص ابومبو ,Bos Abombo , بص ابومبو ,Afroto, 2021,https://genius.com/Wezza-montaser-bos-abombo-lyrics,https://images.genius.com/03c064c710b38f32bd7855fe879e3ee2.1000x1000x1.png, بنهبش نجلوش هو وزه منتصر بحبه نغيب نغيب ولسه جوش اه شفناش كسبتوش ما كسبتوش بتعلوش استوديو كبار انتوا استوديو ايجار دنيا برا بتشتي نار بار زار بشجع بشجع زيد زيد زيد زيد نفسي ترجع نفسي ترجع ليك ليك زميلي وزه زميلي ميم ميم صاحبك اهطل صاحبك ميمي بتكلم صامت كبار خابوا طلوش كعوبنا فينا عابوا مجلنا زايد حسادوا ماسك بيحلش استفدت يعني خسرتش صابتني ورب عرش نجاني اواني فركش بص ابومبو بص ابو حله شد كلام واقطم سيبونا خدت كشاف بوم شيل عنيك عنا لسه مبرق وشه مزرق بحضر يبقي مصيبه شادوا بلاستر فينها شخصيتك شباب فاصله وخربانين طينه بايدي بتمطع اديلك,103
